tweet,tweet translated,sentiment
Pięknie pan mówi. W stylu Gebbelsa 😂,You speak beautifully. In the style of gebbels 😂,negative
ciamajdan w Warszawie,Ciamajdan in Warsaw,negative
Gomułka junior zamknij się,Gomułka Junior Shut up,negative
"To wy Budka mówicie że będziecie siłą wyprowadzać ludzi któży się wam niepodobają. Katolików macie dożynać, ludzi pis siłą usówać z państwowych instytucji i ty mówisz o demokracji. To wy niby jesteś tymi prawożądnymi. Banda sprzedajnych debili na garnuszku Niemieckim iPutinowskim","You say that you say that you will force people who do not like. You have to live Catholics, PiS people can force state institutions and you talk about democracy. You are the right ones. A bunch of selling idiots on a German pot of iPutinowski",negative
"Albo Polin, albo Putin - innego wyboru nie ma.",Either Polin or Putin - there is no other choice.,negative
"No, IQ Budki z piwem... :)","Well, IQ beer booths ... :)",negative
"Czy pana dziadek panie   był szympansem? Widzę pewne podobieństwo...
Chodzi mi o zachowania kilka lat wcześniej, przed sejmem, troszkę jak dzikie małpy. To by wyjaśniało że może pan nie pamiętać swoich zachowań. O podobieństwie fizycznym nie mówię. Pozdrawiam!","Was your grandfather sir? I see some similarity ... 
 I mean behavior a few years earlier, before the Sejm, a bit like wild monkeys. That would explain that you may not remember your behavior. I'm not talking about physical similarity. Regards!",negative
Napisz że wreszcie coś do ładu i składu człowieku a nie wypociny za które pochwali cię Tusk,Write that finally something to order and the composition of man and not scribbles for which Tusk will praise you,negative
"straszyć, straszyć i jeszcze raz straszyć, to program ""lewych"" populistów... dostają furii przed kolejną porażką...","To frighten, scare and frighten again, this is the program of ""left"" populists ... they get fury before another failure ...",negative
Kieszonkowy DUCE?,Pocket Duce?,negative
"Rżnięcie ZUS na wysokie kwoty pieniężne, pamięta jeszcze wnuk towarzysza Wiesława?","ZUS fucking for high money, does the grandson of companion Wiesław remember?",negative
CIAMAJDAN!!!KOD!!!!!OBYWATELE ŚCIERWA!!!!KUŃ HOP HOP HOP!!!!!a budka POd kiecami u teściowej tfuSSka!!!!!!,Ciamajdan !!! !!!!! Occasts !!!,negative
Co za bezczelniak 🤣🤣🤣,What a cheek 🤣🤣🤣,negative
"KPO głównie dotyczy ekologii. To będzie trudne do wdrożenia.Reformy sądownictwa są potrzebne ale w innym kształcie,oddolnie.Sędziowie mogą być niezawiśli pod warunkiem,że strony sporne będą miały jednakowe prawa w przedstawianiu dowodów i świadków. Bo tak nie jest (spr.Śpiewaka)","KPO mainly concerns ecology. It will be difficult to implement. The form of the judiciary is needed but in a different shape, bottom -up. Judge may be independent provided that the disputes will have equal rights in presenting evidence and witnesses. Because it is not so (SPR.PIEKA)",neutral
Panie Karton... Nie rozśmieszaj pan...,Mr. cardboard ... don't make you laugh ...,negative
Schizofrenia? Alzheimer? Nie. Głupota,Schizophrenia? Alzheimer? No. Stupidity,negative
"Lecz się na włosy, bo na głowę za późno","But on the hair, because it's too late on the head",negative
"Manipulacje i fałszowanie ""demokratycznych"" wyborów na całym świecie biją nowe rekordy!🫣🤭","Manipulation and falsification of ""democratic"" elections around the world break new records! 🫣🤭",negative
"Odkąd przeczytałam wszystkie części ""Resortowe dzieci"" -służby, media, politycy, to wiem że w Polsce nie skończyła się komuna, tylko ze zdwojoną siłą zagościła wszędzie i ma się znakomicie🤮😡 ""oni"" siedzą w każdym resorcie, TW tego ścierwa tak gęsto🤮a Polacy ogłupieni że szok🤦","Since I read all the parts of the ""departmental children"" -the services, the media, politicians, I know that the commune has not ended in Poland, only with doubled strength it appeared everywhere and is excellent 🤮😡 ""they"" sit in every resort, TW is so densely 🤮A Poles stupid that shock",negative
Ogłupiala złotousta budka,Golden Golden Budka,negative
Butka krzyczy że platworma jest za pieniędzmi z Uni a po cichu uzgadnia z Niemcami żeby wypłacić Polsce dopiero w tedy jak wygra platworma. To właśnie ć hipokryzja platwormy. Nie podniesiemy wieku emerytalnego a jak wygrali 7 lat dłużej dla kobiet. Tak robi platworma.,The shoe screams that the platworm is for money from Uni and quietly agrees with Germany to pay Poland only when the platworm wins. This is the hypocrisy of Platwola. We will not raise the retirement age and as they won 7 years longer for women. That's what the platworm does.,negative
"BUDKA ,WASZA PARTIA NADAJE SIĘ DO UTYLIZACJI","Budka, your party is suitable for utilization",negative
